SMAD7,6.609215682,6.166263528,6.146390476,5.961507575,4.864309976,5.693835392,5.154109243
SNX2,9.294592033,8.515857501,8.443834541,8.510111396,7.258000622,8.509725528,9.010003521
Socs1,10.73995777,10.47650827,10.29763279,9.3428636,9.229894299,8.527692026,8.821598616
SPRY1,8.288670011,8.189676329,7.939226578,8.081004014,8.137798078,8.069449767,8.037492045
SQLE,8.517472554,8.369651869,7.314877757,8.167004096,8.257246395,7.333132983,6.977623381
Sqstm1,9.955737077,9.812682722,9.671191629,9.677010451,8.631922771,9.070349074,8.942250574
Sox8,6.021257621,5.184677021,4.686360453,5.955126781,4.965437996,6.244030776,5.565597176
TIMP1,11.3196439,11.14977887,10.86142621,11.17325551,9.593974619,10.40124753,11.5397695
TTN,11.93980324,11.66948857,11.03526133,11.7180362,10.38846671,11.2131498,11.94561301
TXNIP,10.76282217,10.14481754,10.10947483,10.36036153,9.730852201,10.67900719,12.23737355
UBL4A,10.23393119,9.570804438,9.73655837,9.285870325,9.357112092,9.713657156,10.46395599
UMOD,10.0607736,8.550640984,6.662846365,8.051113755,8.228253524,8.35761798,10.0809807
VGF,6.710875296,5.609695873,1.894332742,4.680042993,0.702657543,4.094869433,5.940695329
WDR76,7.650549173,7.034826468,7.220934499,7.068778278,7.334831928,7.241816354,7.662241111
Wnt5a,9.271089466,8.615841106,8.307098325,7.938065206,7.06668122,7.427040414,7.409815196
XPC,6.58018318,5.629575194,4.830356747,6.155830172,2.086613947,5.5980525,6.348993656
ZFP36,9.882253286,9.238147945,9.486995871,9.171558379,8.438209668,8.839833648,9.391700066
